BuildingType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,NumberOfPropertyUseTypes,PrimaryProperty,SecondLargest,ThirdLargest,NombreAnnees
NONRESIDENTIAL,2,DOWNTOWN,1909,1.0,6,10800,64488,65508.0,10918.0,0.0,81.0,2891605.0,20.18,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,107
NONRESIDENTIAL,2,DOWNTOWN,1904,1.0,7,0,184322,183916.0,406.0,0.0,81.0,9722890.0,67.78,2,OFFICE AND BUSINESS,OFFICE AND BUSINESS,NOT CONCERNED,112
NONRESIDENTIAL,2,DOWNTOWN,2009,1.0,7,0,287853,273812.0,12102.0,0.0,43.0,25567108.0,182.14,2,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,7
NONRESIDENTIAL,2,GREATER DUWAMISH,1914,1.0,2,0,64512,63000.0,0.0,0.0,53.0,5968153.5,180.76,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,102
NONRESIDENTIAL,2,GREATER DUWAMISH,2009,1.0,6,111774,174226,111774.0,108747.0,49271.0,,63835192.0,445.62,5,MIXED USE,OFFICE AND BUSINESS,OTHER SERVICES AND FACILITIES,7
NONRESIDENTIAL,2,GREATER DUWAMISH,1926,1.0,7,0,144050,144050.0,0.0,0.0,26.0,3929371.0,98.43,1,STORAGE,NOT CONCERNED,NOT CONCERNED,90
NONRESIDENTIAL,2,GREATER DUWAMISH,1930,1.0,3,0,60592,60384.0,0.0,0.0,16.0,5049446.5,47.25,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,86
NONRESIDENTIAL,2,GREATER DUWAMISH,1912,0.0,6,0,1380959,1000730.0,281296.0,220303.0,79.0,74130576.0,810.7,3,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,STORAGE,104
NONRESIDENTIAL,2,GREATER DUWAMISH,1993,1.0,1,0,107930,107704.0,0.0,0.0,57.0,7221482.5,100.42,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,23
NONRESIDENTIAL,2,GREATER DUWAMISH,1926,1.0,1,0,99084,99084.0,0.0,0.0,83.0,1618110.375,49.25,1,STORAGE,NOT CONCERNED,NOT CONCERNED,90
NONRESIDENTIAL,1,DELRIDGE,1953,1.0,1,0,72719,72719.0,0.0,0.0,28.0,2581741.75,42.74,1,STORAGE,NOT CONCERNED,NOT CONCERNED,63
NONRESIDENTIAL,3,EAST,1930,0.0,4,0,76624,76624.0,0.0,0.0,91.0,2773647.5,33.41,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,86
NONRESIDENTIAL,4,NORTHEAST,2001,1.0,6,36583,55123,53281.0,34701.0,3724.0,2.0,8570571.0,59.75,3,OFFICE AND BUSINESS,PARKING,OTHER SERVICES AND FACILITIES,15
NONRESIDENTIAL,7,LAKE UNION,2008,1.0,5,39902,89191,89131.0,37652.0,5615.0,6.0,19248732.0,477.85,3,HEALTH AND MEDICAL,PARKING,OTHER SERVICES AND FACILITIES,8
NONRESIDENTIAL,1,DELRIDGE,1991,1.0,5,16221,121885,119083.0,16221.0,0.0,41.0,8381834.5,58.43,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,25
NONRESIDENTIAL,2,GREATER DUWAMISH,1973,1.0,1,0,56572,56576.0,0.0,0.0,66.0,2409429.0,67.29,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,43
NONRESIDENTIAL,7,DOWNTOWN,2006,0.0,0,0,516407,385196.0,340236.0,67627.0,31.0,39403320.0,734.72,7,MIXED USE,RESIDENTIAL AND HOUSING,HOTEL,10
NONRESIDENTIAL,2,DOWNTOWN,2000,1.0,11,0,312512,303312.0,4738.0,4462.0,,25747022.0,185.39,3,OFFICE AND BUSINESS,OFFICE AND BUSINESS,FOOD AND BEVERAGE,16
NONRESIDENTIAL,7,DOWNTOWN,1926,1.0,6,0,97720,51881.0,11999.0,9713.0,,2478025.25,17.28,3,OFFICE AND BUSINESS,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,90
NONRESIDENTIAL,3,CENTRAL,1987,1.0,7,0,94500,113739.0,0.0,0.0,68.0,5792926.0,40.38,1,HEALTH AND MEDICAL,NOT CONCERNED,NOT CONCERNED,29
NONRESIDENTIAL,1,DELRIDGE,2005,0.0,1,0,94713,109758.0,0.0,0.0,79.0,5417598.0,94.74,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,11
NONRESIDENTIAL,7,EAST,2008,1.0,9,101342,201560,201365.0,86270.0,0.0,58.0,14751117.0,130.32,2,HEALTH AND MEDICAL,PARKING,NOT CONCERNED,8
NONRESIDENTIAL,7,DOWNTOWN,1900,1.0,6,0,56700,46000.0,10500.0,0.0,55.0,3065954.5,21.37,2,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,116
NONRESIDENTIAL,2,GREATER DUWAMISH,1925,1.0,4,0,72000,72000.0,0.0,0.0,89.0,2729167.75,23.48,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,91
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2000,1.0,4,94892,96254,103000.0,80000.0,0.0,93.0,5101504.5,35.56,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,16
NONRESIDENTIAL,1,DELRIDGE,2001,1.0,3,11527,57236,50000.0,11527.0,0.0,,9029489.0,310.19,3,OTHER SERVICES AND FACILITIES,PARKING,ENTERTAINMENT AND LEISURE,15
NONRESIDENTIAL,2,SOUTHEAST,1994,3.0,1,0,102133,107427.0,0.0,0.0,,20725996.0,530.62,2,OTHER SERVICES AND FACILITIES,PARKING,NOT CONCERNED,22
NONRESIDENTIAL,7,DOWNTOWN,2008,1.0,14,0,362046,232443.0,97874.0,3534.0,86.0,15725581.0,116.95,3,OFFICE AND BUSINESS,PARKING,OTHER SERVICES AND FACILITIES,8
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1994,3.0,2,0,81336,81385.0,0.0,0.0,,13085297.0,270.17,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,22
NONRESIDENTIAL,7,DOWNTOWN,2001,1.0,23,0,538933,366554.0,122821.0,0.0,90.0,16020642.0,111.69,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,15
NONRESIDENTIAL,7,DOWNTOWN,1983,1.0,6,197130,78852,197040.0,78852.0,0.0,,5233553.5,36.49,2,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,NOT CONCERNED,33
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1982,1.0,5,0,98668,98668.0,0.0,0.0,91.0,4391348.0,30.61,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,34
NONRESIDENTIAL,2,GREATER DUWAMISH,2007,1.0,1,28381,130550,80157.0,34302.0,26937.0,12.0,8751704.0,98.54,4,OFFICE AND BUSINESS,RESIDENTIAL AND HOUSING,PARKING,9
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1978,1.0,1,0,105100,105100.0,0.0,0.0,1.0,22078064.0,357.86,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,38
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2008,1.0,1,0,57176,39500.0,15000.0,5500.0,31.0,12525174.0,0.0,5,FOOD AND BEVERAGE,RETAIL AND PERSONAL SERVICES,RETAIL AND PERSONAL SERVICES,8
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1978,1.0,1,0,50660,50660.0,0.0,0.0,51.0,2661488.0,60.7,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,38
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1937,1.0,2,0,61929,39879.0,0.0,0.0,59.0,2203026.5,55.73,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,79
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2000,1.0,4,55000,110111,104667.0,55000.0,5444.0,1.0,25478086.0,177.62,3,OFFICE AND BUSINESS,PARKING,OFFICE AND BUSINESS,16
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2000,1.0,4,42500,87051,82273.0,42500.0,4778.0,1.0,27137190.0,189.18,3,OFFICE AND BUSINESS,PARKING,OFFICE AND BUSINESS,16
NONRESIDENTIAL,7,DOWNTOWN,1925,1.0,3,0,20565,20565.0,0.0,0.0,65.0,802312.5,5.59,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,91
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2000,1.0,5,55971,103966,106449.0,50258.0,0.0,63.0,7857972.5,54.78,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,16
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2008,1.0,5,46763,137201,133451.0,46763.0,3750.0,56.0,14856199.0,103.57,3,OFFICE AND BUSINESS,PARKING,OFFICE AND BUSINESS,8
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1986,1.0,5,78848,129362,109978.0,78848.0,0.0,95.0,5514308.5,116.74,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,30
NONRESIDENTIAL,7,DOWNTOWN,1986,1.0,7,80283,197203,178625.0,87624.0,14653.0,63.0,12729858.0,88.74,3,OFFICE AND BUSINESS,PARKING,OTHER SERVICES AND FACILITIES,30
NONRESIDENTIAL,7,DOWNTOWN,1993,1.0,3,0,187130,171783.0,9581.0,4413.0,77.0,10053489.0,70.09,6,OFFICE AND BUSINESS,STORAGE,OTHER SERVICES AND FACILITIES,23
NONRESIDENTIAL,7,DOWNTOWN,2000,1.0,5,117867,133177,126218.0,12717.0,0.0,99.0,17186624.0,119.81,2,OFFICE AND BUSINESS,OFFICE AND BUSINESS,NOT CONCERNED,16
NONRESIDENTIAL,7,DOWNTOWN,1912,1.0,5,0,154330,95330.0,0.0,0.0,81.0,1262235.25,8.8,1,STORAGE,NOT CONCERNED,NOT CONCERNED,104
NONRESIDENTIAL,7,DOWNTOWN,1905,1.0,6,0,167860,110370.0,19801.0,634.0,70.0,6797647.0,47.39,3,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,OFFICE AND BUSINESS,111
NONRESIDENTIAL,7,DOWNTOWN,1910,1.0,6,0,112560,80400.0,16080.0,0.0,86.0,4946798.5,97.82,2,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,106
NONRESIDENTIAL,7,DOWNTOWN,1910,1.0,6,0,86204,67670.0,13534.0,0.0,89.0,3241917.0,69.02,1,RETAIL AND PERSONAL SERVICES,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,106
NONRESIDENTIAL COS,2,GREATER DUWAMISH,1985,1.0,2,0,145158,101633.0,48544.0,10270.0,51.0,8384523.0,119.46,3,STORAGE,OFFICE AND BUSINESS,OTHER SERVICES AND FACILITIES,31
NONRESIDENTIAL,2,GREATER DUWAMISH,1951,1.0,2,0,112896,110746.0,57500.0,0.0,66.0,10287986.0,157.48,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,65
NONRESIDENTIAL,2,GREATER DUWAMISH,1960,1.0,1,0,110613,99551.0,11061.0,0.0,95.0,1015060.188,7.08,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,56
NONRESIDENTIAL,2,GREATER DUWAMISH,1951,1.0,4,0,149881,119593.0,30288.0,0.0,97.0,2417401.25,95.86,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,65
NONRESIDENTIAL,2,GREATER DUWAMISH,1951,1.0,3,0,98220,129420.0,0.0,0.0,12.0,6468090.0,75.29,1,STORAGE,NOT CONCERNED,NOT CONCERNED,65
NONRESIDENTIAL,2,GREATER DUWAMISH,1970,1.0,1,0,84420,44300.0,24838.0,12349.0,55.0,2848317.25,19.86,3,STORAGE,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,46
NONRESIDENTIAL,2,GREATER DUWAMISH,1961,1.0,1,0,73335,73335.0,0.0,0.0,,5197118.0,155.74,2,STORAGE,PARKING,NOT CONCERNED,55
NONRESIDENTIAL,2,GREATER DUWAMISH,1928,1.0,2,0,56876,48400.0,4276.0,4200.0,,1791715.625,48.5,3,STORAGE,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,88
NONRESIDENTIAL,2,GREATER DUWAMISH,1931,1.0,2,0,61200,61200.0,0.0,0.0,16.0,4912143.0,178.62,1,STORAGE,NOT CONCERNED,NOT CONCERNED,85
NONRESIDENTIAL,2,GREATER DUWAMISH,1987,1.0,1,0,111908,109090.0,0.0,0.0,87.0,1555420.25,34.14,1,STORAGE,NOT CONCERNED,NOT CONCERNED,29
NONRESIDENTIAL,2,GREATER DUWAMISH,1986,3.0,2,0,63644,65700.0,0.0,0.0,,6858533.5,168.5,2,OTHER SERVICES AND FACILITIES,PARKING,NOT CONCERNED,30
NONRESIDENTIAL,2,GREATER DUWAMISH,1930,3.0,2,18860,89893,58605.0,24338.0,18864.0,,3639670.25,25.37,6,MIXED USE,RESIDENTIAL AND HOUSING,RETAIL AND PERSONAL SERVICES,86
NONRESIDENTIAL,6,NORTHWEST,1970,1.0,1,35545,106345,168735.0,0.0,0.0,91.0,16865978.0,293.56,2,FOOD AND BEVERAGE,PARKING,PARKING,46
NONRESIDENTIAL,6,BALLARD,2001,1.0,4,21055,71037,70074.0,0.0,0.0,5.0,4817062.0,33.58,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,15
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1974,0.0,3,0,56259,31582.0,20962.0,3715.0,,2346571.5,86.9,3,STORAGE,RETAIL AND PERSONAL SERVICES,OFFICE AND BUSINESS,42
NONRESIDENTIAL,4,NORTHEAST,2006,1.0,6,0,143439,119570.0,23869.0,0.0,,25631512.0,710.7,2,OTHER SERVICES AND FACILITIES,PARKING,NOT CONCERNED,10
NONRESIDENTIAL,6,LAKE UNION,2008,1.0,4,88855,113768,105206.0,31992.0,6374.0,73.0,8873485.0,61.86,3,OFFICE AND BUSINESS,PARKING,HEALTH AND MEDICAL,8
NONRESIDENTIAL,6,LAKE UNION,2000,1.0,2,25800,51374,77174.0,0.0,0.0,33.0,5481549.0,38.21,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,16
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1998,1.0,5,0,110524,98781.0,8634.0,0.0,57.0,6859198.0,47.82,3,OFFICE AND BUSINESS,OTHER SERVICES AND FACILITIES,PARKING,18
NONRESIDENTIAL,3,LAKE UNION,2008,1.0,5,103650,183574,97500.0,88051.0,54106.0,,21042926.0,314.43,4,MIXED USE,OFFICE AND BUSINESS,OTHER SERVICES AND FACILITIES,8
NONRESIDENTIAL,3,LAKE UNION,1999,1.0,4,18382,97366,97365.0,0.0,0.0,,36436388.0,1154.79,1,HEALTH AND MEDICAL,NOT CONCERNED,NOT CONCERNED,17
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2000,1.0,7,84689,157186,163082.0,83425.0,0.0,88.0,8655604.0,68.06,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,16
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1974,1.0,5,18720,84210,89075.0,15164.0,0.0,85.0,4750799.0,65.03,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,42
NONRESIDENTIAL,7,DOWNTOWN,1902,1.0,3,0,76893,90345.0,33380.0,15845.0,,12029600.0,260.13,3,OFFICE AND BUSINESS,PARKING,RETAIL AND PERSONAL SERVICES,114
NONRESIDENTIAL,7,DOWNTOWN,1975,1.0,8,23630,126370,126648.0,23913.0,0.0,65.0,9343428.0,119.93,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,41
NONRESIDENTIAL,7,DOWNTOWN,1953,1.0,7,0,274362,274362.0,0.0,0.0,82.0,16540550.0,147.82,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,63
NONRESIDENTIAL,7,DOWNTOWN,1983,1.0,15,116280,261722,270237.0,71602.0,0.0,85.0,17750994.0,246.83,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,33
NONRESIDENTIAL,7,DOWNTOWN,1981,1.0,33,0,429405,218997.0,210409.0,0.0,98.0,274682208.0,1921.82,2,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,NOT CONCERNED,35
NONRESIDENTIAL,7,DOWNTOWN,1985,1.0,76,319400,1632820,1680937.0,319368.0,0.0,86.0,92937640.0,882.56,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,31
NONRESIDENTIAL,7,DOWNTOWN,1981,1.0,19,89778,293737,312442.0,84800.0,18799.0,90.0,15878689.0,110.7,3,OFFICE AND BUSINESS,PARKING,HEALTH AND MEDICAL,35
NONRESIDENTIAL,7,DOWNTOWN,1929,1.0,4,0,78920,78920.0,0.0,0.0,80.0,8303666.5,109.85,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,87
NONRESIDENTIAL,7,DOWNTOWN,1979,1.0,7,87160,43983,120248.0,10853.0,0.0,93.0,5177270.5,109.16,2,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,37
NONRESIDENTIAL,7,DOWNTOWN,1999,1.0,0,0,947987,561684.0,100000.0,80000.0,,46510960.0,324.25,4,OTHER SERVICES AND FACILITIES,ENTERTAINMENT AND LEISURE,FOOD AND BEVERAGE,17
NONRESIDENTIAL,3,EAST,1908,1.0,4,0,55520,17120.0,15300.0,13400.0,,3686962.25,150.88,5,MIXED USE,ENTERTAINMENT AND LEISURE,STORAGE,108
NONRESIDENTIAL,7,DOWNTOWN,1940,1.0,3,0,83118,45000.0,0.0,0.0,59.0,2443141.5,27.82,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,76
NONRESIDENTIAL,7,DOWNTOWN,1924,1.0,3,0,77555,73563.0,0.0,0.0,39.0,7802205.5,54.4,1,RETAIL AND PERSONAL SERVICES,NOT CONCERNED,NOT CONCERNED,92
NONRESIDENTIAL,7,DOWNTOWN,1909,1.0,6,0,51218,44913.0,7044.0,0.0,57.0,2886141.5,20.12,2,OFFICE AND BUSINESS,FOOD AND BEVERAGE,NOT CONCERNED,107
NONRESIDENTIAL,7,DOWNTOWN,1970,1.0,29,0,489182,371450.0,65451.0,9295.0,43.0,36378588.0,426.39,4,OFFICE AND BUSINESS,PARKING,OTHER SERVICES AND FACILITIES,46
NONRESIDENTIAL,7,DOWNTOWN,1921,1.0,13,0,189175,151740.0,12645.0,0.0,13.0,19036416.0,132.71,2,OFFICE AND BUSINESS,OTHER SERVICES AND FACILITIES,NOT CONCERNED,95
NONRESIDENTIAL,7,DOWNTOWN,1998,1.0,13,74481,219322,145491.0,70603.0,0.0,25.0,17074142.0,119.03,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,18
NONRESIDENTIAL,7,DOWNTOWN,1910,1.0,7,0,122356,95942.0,15523.0,182.0,91.0,4585070.5,41.8,3,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,OFFICE AND BUSINESS,106
NONRESIDENTIAL,7,DOWNTOWN,1921,1.0,3,0,52298,50250.0,0.0,0.0,89.0,1968655.125,13.72,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,95
NONRESIDENTIAL,3,DOWNTOWN,1981,1.0,42,201121,1047934,983697.0,296815.0,12941.0,95.0,37980712.0,264.78,5,OFFICE AND BUSINESS,PARKING,HEALTH AND MEDICAL,35
NONRESIDENTIAL,3,EAST,1988,1.0,5,99314,89025,81873.0,67000.0,0.0,15.0,8523594.0,89.41,2,HEALTH AND MEDICAL,PARKING,NOT CONCERNED,28
NONRESIDENTIAL,3,CENTRAL,1916,1.0,2,0,60122,60122.0,0.0,0.0,,690529.5,9.31,2,EDUCATION,PARKING,NOT CONCERNED,100
NONRESIDENTIAL,2,DOWNTOWN,1910,1.0,6,13700,81300,84481.0,8474.0,0.0,83.0,4052720.0,31.43,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,106
NONRESIDENTIAL,2,DOWNTOWN,1998,1.0,8,124788,321473,343400.0,114237.0,0.0,96.0,13568148.0,94.59,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,18
NONRESIDENTIAL,2,GREATER DUWAMISH,1939,1.0,2,0,58492,58500.0,0.0,0.0,,1594422.5,51.56,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,77
NONRESIDENTIAL,2,GREATER DUWAMISH,1907,1.0,6,0,62370,49473.0,10408.0,0.0,30.0,4353025.0,30.35,2,OFFICE AND BUSINESS,FOOD AND BEVERAGE,NOT CONCERNED,109
NONRESIDENTIAL,2,GREATER DUWAMISH,1960,1.0,1,0,73296,77800.0,0.0,0.0,83.0,2356376.75,73.58,2,STORAGE,PARKING,NOT CONCERNED,56
NONRESIDENTIAL COS,2,GREATER DUWAMISH,1944,1.0,4,0,99122,50036.0,49086.0,0.0,,14469228.0,179.45,2,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,NOT CONCERNED,72
NONRESIDENTIAL,2,GREATER DUWAMISH,1985,1.0,1,0,66133,60787.0,13805.0,2408.0,,6345009.5,89.94,3,OTHER SERVICES AND FACILITIES,OFFICE AND BUSINESS,STORAGE,31
NONRESIDENTIAL,2,GREATER DUWAMISH,1952,1.0,2,0,115668,101752.0,8068.0,4270.0,,3534690.75,111.23,4,STORAGE,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,64
NONRESIDENTIAL,2,GREATER DUWAMISH,1970,1.0,1,0,141686,152511.0,0.0,0.0,,6673138.0,46.52,1,OTHER SERVICES AND FACILITIES,NOT CONCERNED,NOT CONCERNED,46
NONRESIDENTIAL,2,GREATER DUWAMISH,1950,1.0,1,0,93610,101278.0,502.0,0.0,95.0,6235947.0,152.28,2,OFFICE AND BUSINESS,OFFICE AND BUSINESS,NOT CONCERNED,66
NONRESIDENTIAL,2,GREATER DUWAMISH,1973,1.0,2,0,156188,141917.0,0.0,0.0,67.0,6843855.0,60.92,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,43
NONRESIDENTIAL,2,GREATER DUWAMISH,1966,1.0,1,0,115620,56900.0,0.0,0.0,11.0,1951856.25,13.61,1,STORAGE,NOT CONCERNED,NOT CONCERNED,50
NONRESIDENTIAL,2,GREATER DUWAMISH,1975,1.0,5,0,238148,245240.0,5616.0,5616.0,93.0,10775646.0,75.12,2,OFFICE AND BUSINESS,PARKING,PARKING,41
NONRESIDENTIAL,2,GREATER DUWAMISH,1969,1.0,1,0,71718,71718.0,0.0,0.0,100.0,151754.2969,1.06,1,STORAGE,NOT CONCERNED,NOT CONCERNED,47
NONRESIDENTIAL,1,GREATER DUWAMISH,1969,1.0,1,0,55450,34206.0,21244.0,0.0,31.0,4345698.0,131.64,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,47
NONRESIDENTIAL,1,GREATER DUWAMISH,1979,1.0,1,0,54880,55000.0,0.0,0.0,32.0,2763597.0,89.53,1,STORAGE,NOT CONCERNED,NOT CONCERNED,37
NONRESIDENTIAL,1,DELRIDGE,1992,1.0,1,0,102500,99471.0,0.0,0.0,81.0,7305474.0,158.55,2,RETAIL AND PERSONAL SERVICES,PARKING,NOT CONCERNED,24
NONRESIDENTIAL,4,NORTHEAST,2002,1.0,6,272900,88498,232685.0,63419.0,15757.0,,8915523.0,119.92,4,OTHER SERVICES AND FACILITIES,RETAIL AND PERSONAL SERVICES,STORAGE,14
NONRESIDENTIAL,2,GREATER DUWAMISH,1963,1.0,1,0,50785,27382.0,0.0,0.0,57.0,7439009.0,195.43,1,FOOD AND BEVERAGE,NOT CONCERNED,NOT CONCERNED,53
NONRESIDENTIAL,1,DELRIDGE,1929,1.0,3,0,85126,81526.0,0.0,0.0,1.0,37951708.0,166.13,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,87
NONRESIDENTIAL,5,NORTH,2000,1.0,5,19820,283435,321828.0,298043.0,5636.0,,11077140.0,99.14,4,OTHER SERVICES AND FACILITIES,RETAIL AND PERSONAL SERVICES,OTHER SERVICES AND FACILITIES,16
NONRESIDENTIAL,2,GREATER DUWAMISH,1986,1.0,1,0,411584,288048.0,83683.0,35760.0,43.0,15091579.0,455.39,3,STORAGE,STORAGE,STORAGE,30
NONRESIDENTIAL,7,DOWNTOWN,1902,1.0,4,0,73320,27283.0,23277.0,6540.0,,1141189.75,29.16,3,MIXED USE,OFFICE AND BUSINESS,RETAIL AND PERSONAL SERVICES,114
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,2008,1.0,4,100176,142510,149081.0,76364.0,0.0,77.0,9683979.0,67.51,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,8
NONRESIDENTIAL,2,DOWNTOWN,1900,1.0,6,15840,79920,95760.0,0.0,0.0,83.0,5392617.5,74.45,1,OFFICE AND BUSINESS,NOT CONCERNED,NOT CONCERNED,116
NONRESIDENTIAL,2,GREATER DUWAMISH,1946,1.0,1,0,179413,178087.0,0.0,0.0,57.0,3459543.0,24.12,1,STORAGE,NOT CONCERNED,NOT CONCERNED,70
NONRESIDENTIAL,2,GREATER DUWAMISH,1917,0.0,1,0,65288,60000.0,5000.0,5000.0,,605971.1875,4.22,4,STORAGE,OTHER SERVICES AND FACILITIES,RETAIL AND PERSONAL SERVICES,99
NONRESIDENTIAL,1,DELRIDGE,1966,1.0,1,0,170632,164806.0,5826.0,0.0,98.0,602245.0,4.2,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,50
NONRESIDENTIAL,7,MAGNOLIA / QUEEN ANNE,1994,1.0,10,0,381511,220033.0,168978.0,0.0,87.0,11410228.0,106.12,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,22
NONRESIDENTIAL,3,DOWNTOWN,2009,1.0,17,138098,275166,295494.0,94781.0,0.0,91.0,13631141.0,95.03,2,OFFICE AND BUSINESS,PARKING,NOT CONCERNED,7
NONRESIDENTIAL,4,NORTHEAST,2009,1.0,6,54300,68100,41624.0,33399.0,20740.0,63.0,4865551.5,79.39,4,MIXED USE,PARKING,RESIDENTIAL AND HOUSING,7
NONRESIDENTIAL,4,NORTHEAST,1956,1.0,2,0,93803,85572.0,2950.0,2500.0,,5453438.5,110.41,4,RETAIL AND PERSONAL SERVICES,FOOD AND BEVERAGE,OTHER SERVICES AND FACILITIES,60
SPS-DISTRICT K-12,3,CENTRAL,1988,1.0,1,0,52924,52924.0,0.0,0.0,,1957268.0,13.64,1,EDUCATION,NOT CONCERNED,NOT CONCERNED,28
NONRESIDENTIAL,2,GREATER DUWAMISH,1966,1.0,2,0,123000,112484.0,24433.0,0.0,47.0,3004271.0,20.94,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,50
NONRESIDENTIAL,3,EAST,2003,1.0,5,112980,162150,177748.0,0.0,0.0,70.0,9941308.0,69.3,1,HEALTH AND MEDICAL,NOT CONCERNED,NOT CONCERNED,13
NONRESIDENTIAL,2,GREATER DUWAMISH,1978,1.0,1,0,60448,52702.0,7746.0,0.0,90.0,1052244.75,27.24,2,STORAGE,OFFICE AND BUSINESS,NOT CONCERNED,38
